INDEX,NAME,Hydrogen_Bond:TRP102B,Hydrogen_Bond:LYS394B,Hydrophobic_Interaction:LEU111B,Hydrogen_Bond:ASP166B,Halogen_Bond:TRP102B,Hydrophobic_Interaction:ASP106B,Salt_Bridge:HIS125B,Hydrophobic_Interaction:PRO164B,Hydrogen_Bond:ARG112B,Hydrophobic_Interaction:ARG138B,Hydrophobic_Interaction:GLN129B,Hydrophobic_Interaction:VAL29B,Hydrogen_Bond:GLU136B,Halogen_Bond:ARG138B,Pi-Cation_Interaction:LYS133B,Hydrogen_Bond:GLU70B,Hydrophobic_Interaction:GLU134B,Hydrophobic_Interaction:PRO98B,Hydrophobic_Interaction:GLN141B,Hydrophobic_Interaction:THR137B,Hydrogen_Bond:ARG138B,Hydrophobic_Interaction:PHE393B,Hydrogen_Bond:ASP106B,Hydrogen_Bond:TYR383B,Hydrophobic_Interaction:TYR142B,Hydrogen_Bond:ILE126B,Hydrogen_Bond:TYR142B,Hydrogen_Bond:GLN141B,Hydrophobic_Interaction:ASP166B,Salt_Bridge:LYS133B,Pi-Cation_Interaction:ARG138B,Salt_Bridge:ARG138B,Salt_Bridge:GLU134B,Hydrogen_Bond:ALA388B,Salt_Bridge:LYS140B,Pi-Cation_Interaction:ARG101B,Salt_Bridge:HIS624B,Halogen_Bond:ASP113B,Hydrogen_Bond:THR104B,Hydrogen_Bond:ASP113B,Hydrogen_Bond:LYS133B,Hydrogen_Bond:THR137B,Salt_Bridge:LYS394B,Hydrophobic_Interaction:ARG101B,Hydrophobic_Interaction:ARG68B,Hydrogen_Bond:LEU163B,Hydrophobic_Interaction:LEU66B,Hydrophobic_Interaction:VAL389B,Hydrogen_Bond:HIS125B,Hydrophobic_Interaction:VAL110B,Hydrogen_Bond:PRO98B,Hydrogen_Bond:ARG68B,Hydrophobic_Interaction:GLU70B,Halogen_Bond:VAL110B,Hydrogen_Bond:GLU108B,Halogen_Bond:LYS133B,Hydrogen_Bond:GLN168B,Hydrophobic_Interaction:VAL107B,Hydrophobic_Interaction:THR104B,Hydrophobic_Interaction:GLU136B,Hydrogen_Bond:ARG165B,Hydrophobic_Interaction:TYR383B,Hydrophobic_Interaction:ARG165B,Hydrophobic_Interaction:LYS140B,Hydrogen_Bond:GLN129B,Hydrophobic_Interaction:ILE126B,Pi-Stacking:HIS130B,Hydrophobic_Interaction:GLU108B,Salt_Bridge:ARG101B,Hydrophobic_Interaction:LYS133B,Hydrogen_Bond:GLU134B,Hydrogen_Bond:VAL110B,Hydrophobic_Interaction:VAL109B,Hydrophobic_Interaction:ARG112B,Salt_Bridge:ASP166B,Hydrophobic_Interaction:ALA388B,Salt_Bridge:ARG68B,Pi-Cation_Interaction:LYS140B,Salt_Bridge:HIS130B,Hydrogen_Bond:VAL389B,Hydrophobic_Interaction:HIS130B,Hydrogen_Bond:ARG101B,Hydrogen_Bond:HIS130B,Hydrogen_Bond:LYS140B,Hydrogen_Bond:CYS99B,LABEL
1,28|VitaminE_allmin_active|sdf|28,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,active
2,101|VitaminE_allmin_active|sdf|101,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,active
3,111|VitaminE_allmin_decoy|sdf|111,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,inactive
4,54|VitaminE_allmin_decoy|sdf|54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,inactive
5,110|VitaminE_allmin_active|sdf|110,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,active
6,39|VitaminE_allmin_active|sdf|39,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,active
7,41|VitaminE_allmin_active|sdf|41,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,active
8,57|VitaminE_allmin_decoy|sdf|57,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,inactive
9,90|VitaminE_allmin_active|sdf|90,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,active
10,112|VitaminE_allmin_decoy|sdf|112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,inactive
11,169|VitaminE_allmin_decoy|sdf|169,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,inactive
